Brand,Model,Derivative,Introduced,Discontinued,Package
VOLKSWAGEN,GOLF HATCHBACK,1.5 eTSI 150 Black Edition 5dr DSG,2023-09-07,2023-11-21,
VOLKSWAGEN,GOLF HATCHBACK,2.0 TSI 190 Black Edition 4Motion 5dr DSG,2023-09-07,2024-03-13,
VOLKSWAGEN,ID.7 HATCHBACK,210kW Launch Edition Pro 77kWh 5dr Auto,2023-11-09,2024-01-30,
VOLKSWAGEN,ID.7 HATCHBACK,210kW Launch Ed Pro 77kWh 5dr Auto,2023-11-09,2024-01-30,Interior Pac
VOLKSWAGEN,ID.7 HATCHBACK,210kW Launch Ed Pro 77kWh 5dr Auto,2023-11-09,2024-01-30,Exterior+ Pa
VOLKSWAGEN,ID.7 HATCHBACK,210kW Launch Ed Pro 77kWh 5dr Auto,2023-11-09,2024-01-30,Int/Ext+ Pan
VOLKSWAGEN,TIGUAN DIESEL ESTATE,2.0 TDI Black Edition 5dr DSG,2023-03-02,2023-11-13,
VOLKSWAGEN,TIGUAN ESTATE,1.5 TSI 150 Black Edition 5dr DSG,2023-03-02,2023-11-13,
VOLKSWAGEN,TOUAREG DIESEL ESTATE,3.0 V6 TDI 4M 231 R-Line Tech Plus 5dr Tip Auto,2023-03-30,2023-06-02,
VOLKSWAGEN,TOUAREG DIESEL ESTATE,3.0 V6 TDI 4Motion R-Line Tech Plus 5dr Tip Auto,2023-03-30,2023-06-02,
VOLKSWAGEN,T-CROSS ESTATE,1.0 TSI 110 Move 5dr DSG,2023-04-20,2024-01-04,
VOLKSWAGEN,T-CROSS ESTATE,1.0 TSI Move 5dr,2023-04-20,2024-01-04,
VOLKSWAGEN,T-CROSS ESTATE,,2023-04-20,2024-01-04,
VOLKSWAGEN,ID.3 HATCHBACK,150kW Pro 58kWh 5dr Auto,2023-04-27,2024-06-27,
VOLKSWAGEN,ID.3 HATCHBACK,150kW Pro 58kWh 5dr Auto,2023-04-27,2024-06-27,Comfort
VOLKSWAGEN,ID.3 HATCHBACK,150kW Pro 58kWh 5dr Auto,2023-04-27,2024-04-25,Exterior Plus
VOLKSWAGEN,ID.3 HATCHBACK,150kW Pro 58kWh 5dr Auto,2023-04-27,2024-06-27,Driver Assist
